,id,name,state
478,20406,VOELKERMARKT-GOLDBRUNNHOF,Kärnten
479,20408,VOELKERMARKT,Kärnten
480,20412,FEISTRITZ ob BLEIBURG,Kärnten
481,20500,ST.PAUL/LAVANTTAL,Kärnten
482,20600,WIEL,Steiermark
483,20900,BAD RADKERSBURG,Steiermark
484,20901,BAD RADKERSBURG,Steiermark
485,20902,BAD RADKERSBURG,Steiermark
486,21100,LOIBL-TUNNEL,Kärnten
487,21300,BAD EISENKAPPEL,Kärnten
488,21302,BAD EISENKAPPEL,Kärnten
489,11707,SEEFELD,Tirol
490,20411,VOELKERMARKT-GOLDBRUNNHOF,Kärnten
491,2901,REICHERSBERG/STIFT,Oberösterreich
492,3702,JAUERLING/ORF,Niederösterreich
493,3710,JOCHING,Niederösterreich
494,3720,UNTERLOIBEN,Niederösterreich
495,3800,KREMS-LANDERSDORF,Niederösterreich
496,3805,KREMS,Niederösterreich
497,3807,KREMS,Niederösterreich
498,3811,LANGENLOIS,Niederösterreich
499,4305,ZWERNDORF,Niederösterreich
500,4224,GAENSERNDORF-STADT,Niederösterreich
501,4030,STOCKERAU,Niederösterreich
502,3930,HEILIGENEICH,Niederösterreich
503,4065,KORNEUBURG/DABSCHKASERNE,Niederösterreich
504,4071,KORNEUBURG,Niederösterreich
505,4080,LANGENLEBARN,Niederösterreich
506,4115,WIEN/STAMMERSDORF,Wien
507,4125,WOLKERSDORF,Niederösterreich
508,4170,SCHLEINBACH,Niederösterreich
509,4200,GROSS SCHWEINBARTH,Niederösterreich
510,4220,OBERSIEBENBRUNN,Niederösterreich
511,4223,GAENSERNDORF,Niederösterreich
512,4500,RANSHOFEN,Oberösterreich
513,4510,FELDKIRCHEN/MATTIGHOFEN,Oberösterreich
514,5820,BRUNN AM GEBIRGE,Niederösterreich
515,5870,BADEN,Niederösterreich
516,5880,GUMPOLDSKIRCHEN,Niederösterreich
517,5890,BREITENFURT,Niederösterreich
518,5901,WIEN-HOHE WARTE,Wien
519,5902,WIEN Favoriten,Wien
520,5916,WIEN-UNTERLAA,Wien
521,5925,WIEN-INNERE STADT,Wien
522,5963,WIEN-HOHE WARTE HANNHUETTE,Wien
523,5965,WIEN HOHE WARTE (MIT 21 UHR TERMINEN),Wien
524,5972,GROSS-ENZERSDORF,Niederösterreich
525,2116,GARS/Kamp,Niederösterreich
526,6010,FRANZENSDORF,Niederösterreich
527,6050,FISCHAMEND,Niederösterreich
528,6100,PRELLENKIRCHEN,Niederösterreich
529,6304,SALZBURG-FREISAAL,Salzburg
530,6306,SALZBURG,Salzburg
531,6315,SALZBURG/LEHRERSEMINAR,Salzburg
532,6409,MATTSEE,Salzburg
533,6415,MATTSEE,Salzburg
534,6506,SEEWALCHEN,Oberösterreich
535,6508,MONDSEE,Oberösterreich
536,6509,MONDSEE/PLOMBERG,Oberösterreich
537,6530,WEYREGG,Oberösterreich
538,6550,WEISSENKIRCHEN,Oberösterreich
539,19720,KOETSCHACH-MAUTHEN,Kärnten
540,6610,FEUERKOGEL,Oberösterreich
541,19710,KORNAT,Kärnten
542,6620,GMUNDEN,Oberösterreich
543,6630,LENZING,Oberösterreich
544,19505,SILLIAN,Tirol
545,19500,SILLIAN,Tirol
546,6700,GRUENAU,Oberösterreich
547,6802,MICHELDORF,Oberösterreich
548,6900,TERNBERG,Oberösterreich
549,6905,REICHRAMING,Oberösterreich
550,6910,GROSSRAMING/KRAFTWERK,Oberösterreich
551,19201,BAD GLEICHENBERG,Steiermark
552,18906,DEUTSCHLANDSBERG,Steiermark
553,18900,DEUTSCHLANDSBERG,Steiermark
554,18810,WOLFSBERG-REDING,Kärnten
555,18805,PREITENEGG,Kärnten
556,18705,ST.ANDRAE/LAVANTTAL,Kärnten
557,18700,ST.ANDRAE-WINKLING,Kärnten
558,18622,ST.VEIT/GLAN,Kärnten
559,18620,ST.VEIT/GLAN,Kärnten
560,18502,WEITENSFELD,Kärnten
561,18500,WEITENSFELD,Kärnten
562,18305,RADENTHEIN,Kärnten
563,18241,REISSECKHUETTE,Kärnten
564,18240,REISSECK,Kärnten
565,18231,GMUEND,Kärnten
566,18225,SPITTAL/DRAU,Kärnten
567,18220,SPITTAL/DRAU,Kärnten
568,18211,MILLSTATT-KLEINDOMBRA,Kärnten
569,18121,OBERVELLACH,Kärnten
570,10610,PITTEN,Niederösterreich
571,10720,NEUDORF/LANDSEE,Burgenland
572,7904,FRAUENKIRCHEN/BGL.,Burgenland
573,7905,NEUSIEDL AM SEE,Burgenland
574,9650,HALLSTATT,Oberösterreich
575,9800,AIGEN/ENNSTAL,Steiermark
576,9900,ADMONT,Steiermark
577,9901,ADMONT-MOORWIRTSCHAFT,Steiermark
578,9904,ADMONT LAGER,Steiermark
579,9905,ADMONT/GRABNERHOF,Steiermark
580,9910,HALL/ADMONT,Steiermark
581,9911,HALL/ADMONT,Steiermark
582,9925,ROTTENMANN,Steiermark
583,9105,KIRCHDORF/TIROL,Tirol
584,9111,KOESSEN,Tirol
585,9200,UNKEN,Salzburg
586,9210,LOFER,Salzburg
587,9211,LOFER/ORT,Salzburg
588,9400,DUERRNBERG,Salzburg
